CustomerID,Recency,Frequency,Monetary,R,F,M,Cluster,Segment
12749,4,5,98.35,0.00911854103343465,0.4,0.43122725479019597,4,Low Value
12820,4,4,58.2,0.00911854103343465,0.3,0.2551848116806244,4,Low Value
12821,215,1,19.92,0.6504559270516718,0.0,0.08734160564738896,1,Loyal Customers
12822,71,2,30.799999999999997,0.2127659574468085,0.1,0.13504625772789056,7,
12824,60,1,5.04,0.17933130699088146,0.0,0.022098478537291185,7,
12826,3,7,122.80000000000001,0.0060790273556231,0.6,0.5384311834086027,2,Churn Risk
12827,6,3,84.21000000000001,0.015197568389057751,0.2,0.36922874556057356,11,
12828,3,6,154.8,0.0060790273556231,0.5,0.6787389836453721,2,Churn Risk
12831,263,1,34.199999999999996,0.7963525835866262,0.0,0.1499539615030473,3,Big Spenders
12832,33,2,19.9,0.0972644376899696,0.1,0.08725391327224097,0,Best Customers
12833,146,1,15.0,0.44072948328267475,0.0,0.06576928136098567,10,
12834,283,1,15.9,0.8571428571428571,0.0,0.06971543824264481,3,Big Spenders
12836,60,4,29.05,0.17933130699088146,0.3,0.12737317490244224,6,
12837,174,1,17.0,0.5258358662613982,0.0,0.07453851887578375,10,
12838,34,2,11.4,0.10030395136778116,0.1,0.04998465383434911,0,Best Customers
12840,144,4,138.6,0.43465045592705165,0.3,0.6077081597755075,9,
12842,71,2,22.8,0.2127659574468085,0.1,0.09996930766869822,7,
12843,66,8,123.2,0.19756838905775076,0.7,0.5401850309115622,2,Churn Risk
12844,30,2,8.7,0.08814589665653495,0.1,0.038146183189371685,0,Best Customers
12847,23,1,1.17,0.0668693009118541,0.0,0.005130003946156881,0,Best Customers
12849,32,2,44.699999999999996,0.09422492401215805,0.1,0.19599245845573726,6,
12851,97,1,4.16,0.2917933130699088,0.0,0.018240014030780023,7,
12852,295,1,17.4,0.8936170212765957,0.0,0.07629236637874337,3,Big Spenders
12853,135,6,202.20000000000002,0.4072948328267477,0.5,0.8865699127460869,8,
12854,79,3,158.29999999999998,0.23708206686930092,0.2,0.6940851492962686,8,
12856,8,6,44.58,0.02127659574468085,0.5,0.1954663042048494,4,Low Value
12857,211,2,53.400000000000006,0.6382978723404256,0.1,0.234138641645109,1,Loyal Customers
12864,139,1,17.4,0.4194528875379939,0.0,0.07629236637874337,10,
12867,27,7,53.74,0.0790273556231003,0.6,0.23562941202262463,5,
12868,186,6,123.95,0.5623100303951368,0.5,0.5434734949796115,9,
12871,85,2,178.2,0.2553191489361702,0.1,0.7813390625685096,8,
12872,327,2,50.0,0.9908814589665653,0.1,0.2192309378699522,3,Big Spenders
12873,283,1,68.0,0.8571428571428571,0.0,0.298154075503135,3,Big Spenders
12878,237,2,45.0,0.7173252279635258,0.1,0.19730784408295698,1,Loyal Customers
12879,45,3,192.71999999999997,0.1337386018237082,0.2,0.8450037269259437,8,
12881,276,1,195.0,0.8358662613981763,0.0,0.8550006576928136,9,
12883,25,4,71.85,0.0729483282674772,0.3,0.3150348577191213,4,Low Value
12884,89,1,170.0,0.2674772036474164,0.0,0.7453851887578375,8,
12885,64,3,43.400000000000006,0.19148936170212766,0.2,0.19029245407111856,6,
12886,68,2,33.5,0.20364741641337386,0.1,0.14688472837286798,7,
12888,215,2,106.56,0.6504559270516718,0.1,0.46722497478844216,9,
12890,25,1,10.5,0.0729483282674772,0.0,0.04603849695268997,0,Best Customers
12893,31,1,3.75,0.0911854103343465,0.0,0.016442320340246418,0,Best Customers
12895,43,2,34.8,0.1276595744680851,0.1,0.15258473275748674,6,
12897,205,2,116.0,0.6200607902735562,0.1,0.5086157758582891,9,
12902,265,1,17.700000000000003,0.8024316109422492,0.0,0.0776077520059631,3,Big Spenders
12904,19,2,11.899999999999999,0.0547112462006079,0.1,0.05217696321304862,0,Best Customers
12906,12,5,206.76,0.03343465045592705,0.4,0.9065637742798264,8,
12909,40,5,125.88,0.11854103343465046,0.4,0.5519358091813916,2,Churn Risk
12915,149,2,38.4,0.44984802431610943,0.1,0.1683693602841233,10,
